ID,website,email_1,email_2,email_3,email_4,email_5,email_6,email_7,email_8,email_9,category_1,category_10,category_11,category_12,category_13,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9
70,https://www.979espn.com,*****.*******@**********.**,,,,,,,,,,,,,,,,,,,,,
71,https://www.marshallcountydaily.com/,*****@**************.***,*****@*****.***,,,,,,,,,,,,,,,,,,,,
72,,****.*****@*******-*******.***,,,,,,,,,,,,,,,,,,,,,
73,https://thelakecurrent.com,********@**************.***,,,,,,,,,,,,,,,,,,,,,
74,https://www.620amkexb.com,*******@3*5********.***,,,,,,,,,,,,,,,,,,,,,
75,https://www.660amtheanswer.com,*********@**************.***,,,,,,,,,,,,,,,,,,,,,
76,https://www.mountaingospel.org,********@********-*************.***,,,,,,,,,,,,,,,,,,,,,
77,https://www.cnn.com/shows/michaela,*****.****@****.***,,,,,,,,,,,,,,,,,,,,,
78,https://knue.com,*****.*****@******.***,*****@*****.***,,,,,,,,,,,,,,,,,,,,
79,https://www.classicrock961.com,********@**************.***,,,,,,,,,,,,,,,,,,,,,
80,https://www.hot1073jamz.com,*.**********@*********.***,,,,,,,,,,,,,,,,,,,,,
81,https://www.mix931fm.com,****@****.********,,,,,,,,,,,,,,,,,,,,,
82,https://www.warr1520.com,*********@********.***,,,,,,,,,,,,,,,,,,,,,
83,https://www.989therock.com,****@*****.**,****@*******.***,,,,,,,,,,,,,,,,,,,,
84,https://www.wlwt.com,*****@*********.***,,,,,,,,,,,,,,,,,,,,,
85,https://www.wlwt.com,*********@********.***,,,,,,,,,,,,,,,,,,,,,
86,https://www.kristv.com,***@**-**.***,,,,,,,,,,,,,,,,,,,,,
87,,********@************.***,,,,,,,,,,,,,,,,,,,,,
88,https://967kcil.com/,******@*****.**,,,,,,,,,,,,,,,,,,,,,
89,https://www.gumbo949.com,*****.*********@***********.***,,,,,,,,,,,,,,,,,,,,,
90,https://www.hot97.com/news/ebro-morning,******@***.***,,,,,,,,,,,,,,,,,,,,,
91,https://www.1063cowboycountry.com,******.********@**************.***,,,,,,,,,,,,,,,,,,,,,
92,https://www.wamo100.com,*******@******-*********.***,,,,,,,,,,,,,,,,,,,,,
93,https://www.superstationk106.com,****@******-********.***,,,,,,,,,,,,,,,,,,,,,
94,https://www.wugatv.org,****@**************.***,,,,,,,,,,,,,,,,,,,,,
